30	1	1	1	0	1787	0	0	1	19	10	79	1	-1	0	1	0
33	2	1	2	0	4789	1	1	1	11	5	220	1	339	4	2	0
35	3	2	3	0	1350	1	0	1	16	4	185	1	330	1	2	0
30	3	1	3	0	1476	1	1	2	3	6	199	4	-1	0	1	0
59	4	1	2	0	0	1	0	2	5	5	226	1	-1	0	1	0
35	3	2	3	0	747	0	0	1	23	2	141	2	176	3	2	0
36	5	1	3	0	307	1	0	1	14	5	341	1	330	2	3	0
39	6	1	2	0	147	1	0	1	6	5	151	2	-1	0	1	0
41	7	1	3	0	221	1	0	2	14	5	57	2	-1	0	1	0
43	2	1	1	0	-88	1	1	1	17	4	313	1	147	2	2	0
39	2	1	2	0	9374	1	0	2	20	5	273	1	-1	0	1	0
43	8	1	2	0	264	1	0	1	17	4	113	2	-1	0	1	0
36	6	1	3	0	1109	0	0	1	13	8	328	2	-1	0	1	0
20	9	2	2	0	502	0	0	1	30	4	261	1	-1	0	1	1
31	4	1	2	0	360	1	1	1	29	1	89	1	241	1	2	0
40	3	1	3	0	194	0	1	1	29	8	189	2	-1	0	1	0
56	6	1	2	0	4073	0	0	1	27	8	239	5	-1	0	1	0
37	8	2	3	0	2317	1	0	1	20	4	114	1	152	2	2	0
25	4	2	1	0	-221	1	0	2	23	5	250	1	-1	0	1	0
31	2	1	2	0	132	0	0	1	7	7	148	1	152	1	3	0
38	3	3	4	0	0	1	0	1	18	11	96	2	-1	0	1	0
42	3	3	3	0	16	0	0	1	19	11	140	3	-1	0	1	0
44	2	2	2	0	106	0	0	2	12	6	109	2	-1	0	1	0
44	7	1	2	0	93	0	0	1	7	7	125	2	-1	0	1	0
26	10	1	3	0	543	0	0	1	30	1	169	3	-1	0	1	0
41	3	1	3	0	5883	0	0	1	20	11	182	2	-1	0	1	0
55	4	1	1	0	627	1	0	2	5	5	247	1	-1	0	1	0
67	11	1	4	0	696	0	0	3	17	8	119	1	105	2	2	0
56	5	1	2	0	784	0	1	1	30	7	149	2	-1	0	1	0
53	8	1	2	0	105	0	1	1	21	8	74	2	-1	0	1	0
68	11	3	2	0	4189	0	0	3	14	7	897	2	-1	0	1	1
31	6	1	2	0	171	0	0	1	27	8	81	3	-1	0	1	0
59	3	1	2	0	42	0	0	1	21	11	40	1	-1	0	1	0
32	3	2	3	0	2536	1	0	1	26	8	958	6	-1	0	1	1
49	6	1	3	0	1235	0	0	1	13	8	354	3	-1	0	1	1
42	8	3	2	0	1811	1	0	2	14	5	150	1	-1	0	1	0
78	11	3	1	0	229	0	0	3	22	10	97	1	-1	0	1	1
32	4	1	2	0	2089	1	0	1	14	11	132	1	-1	0	1	1
